task_id,condition,status,succeeded,full_suite_passed,steps,tool_calls,patch_attempts,elapsed_seconds
calculator-001,full-agent-live-qwen,succeeded,True,True,5,5,1,27.01
calculator-002,full-agent-live-qwen,succeeded,True,True,5,5,1,28.09
calculator-003,full-agent-live-qwen,succeeded,True,True,5,5,1,32.77
calculator-004,full-agent-live-qwen,succeeded,True,True,5,5,1,27.32
geometry-001,full-agent-live-qwen,succeeded,True,True,5,5,1,38.0
geometry-002,full-agent-live-qwen,succeeded,True,True,8,8,2,77.4
lists-001,full-agent-live-qwen,succeeded,True,True,5,5,1,29.1
lists-002,full-agent-live-qwen,succeeded,True,True,5,5,1,25.55
numbers-001,full-agent-live-qwen,succeeded,True,True,5,5,1,32.75
stats-001,full-agent-live-qwen,succeeded,True,True,8,8,2,72.84
strings-001,full-agent-live-qwen,succeeded,True,True,5,5,1,26.24
strings-002,full-agent-live-qwen,succeeded,True,True,8,8,2,64.6
