task,full_agent,one_shot,no_retry,full_status,one_shot_status,no_retry_status
add,pass,pass,pass,succeeded,succeeded,succeeded
binary-search,pass,pass,pass,succeeded,succeeded,succeeded
clamp,fail,fail,fail,budget_exhausted,escalated,budget_exhausted
count-vowels,fail,fail,fail,escalated,escalated,budget_exhausted
factorial,pass,pass,pass,succeeded,succeeded,succeeded
fibonacci,pass,pass,pass,succeeded,succeeded,succeeded
flatten-once,fail,fail,fail,budget_exhausted,escalated,budget_exhausted
gcd,fail,fail,fail,escalated,escalated,budget_exhausted
has-balanced-parentheses,fail,fail,fail,escalated,escalated,budget_exhausted
is-even,pass,fail,fail,succeeded,escalated,budget_exhausted
is-palindrome,fail,fail,fail,escalated,escalated,budget_exhausted
lcm,fail,fail,fail,escalated,escalated,escalated
median,fail,fail,fail,budget_exhausted,escalated,budget_exhausted
merge-sorted,fail,fail,fail,escalated,escalated,escalated
multiply,fail,fail,fail,budget_exhausted,escalated,budget_exhausted
normalize-whitespace,pass,fail,fail,succeeded,escalated,budget_exhausted
safe-divide,pass,pass,fail,succeeded,succeeded,budget_exhausted
subtract,fail,fail,fail,budget_exhausted,escalated,budget_exhausted
to-base,pass,pass,pass,succeeded,succeeded,succeeded
unique-preserve-order,fail,fail,fail,escalated,escalated,escalated
